PEER / TOT UPDATES / AVG. PER MIN / LONG / SHORT
AS8331 / 34 / 0.0236111111111 / 24370 / 0
AS8359 / 9183 / 6.37708333333 / 928 / 0
AS3267 / 233 / 0.161805555556 / 5810 / 0
AS9002 / 320702 / 222.709722222 / 6 / 0
AS39821 / 1847 / 1.28263888889 / 472 / 0
AS21156 / 3 / 0.00208333333333 / 2309 / 88
AS24482 / 954495 / 662.84375 / 530 / 0
AS25091 / 204299 / 141.874305556 / 32 / 0
AS3252 / 222607 / 154.588194444 / 165 / 0
AS41095 / 158724 / 110.225 / 34 / 0
AS28917 / 858960 / 596.5 / 7 / 0
AS2895 / 79679 / 55.3326388889 / 32 / 0
AS20764 / 2420675 / 1681.02430556 / 157 / 0
AS2854 / 12 / 0.00833333333333 / 43116 / 11
Total number of updates: 5231453
