PEER / TOT UPDATES / AVG. PER MIN / LONG / SHORT
AS41497 / 206999 / 143.749305556 / 19 / 0
AS28941 / 122490 / 85.0625 / 34 / 0
AS202032 / 29185 / 20.2673611111 / 52 / 0
AS12637 / 444767 / 308.865972222 / 11 / 0
AS8224 / 1 / 0.000694444444444 / 0 / 100000
AS4589 / 52 / 0.0361111111111 / 6651 / 0
AS8816 / 1304 / 0.905555555556 / 32 / 0
AS6939 / 29076 / 20.1916666667 / 59 / 0
AS8220 / 106 / 0.0736111111111 / 7630 / 0
AS24482 / 949394 / 659.301388889 / 760 / 0
AS49605 / 123958 / 86.0819444444 / 20 / 0
AS5392 / 281347 / 195.379861111 / 17 / 0
AS15605 / 96019 / 66.6798611111 / 33 / 0
AS5396 / 94367 / 65.5326388889 / 32 / 0
AS51185 / 160646 / 111.559722222 / 36 / 0
AS28929 / 37321 / 25.9173611111 / 61 / 0
AS12779 / 114012 / 79.175 / 37 / 0
AS9026 / 2 / 0.00138888888889 / 30 / 30
Total number of updates: 2691046
