PEER / TOT UPDATES / AVG. PER MIN / LONG / SHORT
AS6720 / 129845 / 90.1701388889 / 32 / 0
AS6730 / 4 / 0.00277777777778 / 4730 / 96
AS8591 / 6 / 0.00416666666667 / 34477 / 2
AS8447 / 42 / 0.0291666666667 / 36165 / 0
AS21385 / 12 / 0.00833333333333 / 47183 / 1
AS6939 / 29022 / 20.1541666667 / 59 / 0
AS8596 / 177318 / 123.1375 / 32 / 0
AS39912 / 266730 / 185.229166667 / 9 / 0
AS8245 / 33 / 0.0229166666667 / 13168 / 0
AS34594 / 3 / 0.00208333333333 / 32700 / 17
AS13237 / 356908 / 247.852777778 / 8 / 0
AS2686 / 25 / 0.0173611111111 / 33661 / 0
AS8220 / 108 / 0.075 / 7630 / 0
AS8339 / 8 / 0.00555555555556 / 57 / 0
AS34347 / 66 / 0.0458333333333 / 3042 / 0
AS1853 / 140131 / 97.3131944444 / 31 / 0
AS42 / 2 / 0.00138888888889 / 4176 / 4176
AS6798 / 728 / 0.505555555556 / 1222 / 0
AS5588 / 2996 / 2.08055555556 / 1190 / 0
AS13101 / 143 / 0.0993055555556 / 40330 / 0
AS12577 / 5 / 0.00347222222222 / 13 / 0
Total number of updates: 1104135
