PEER / TOT UPDATES / AVG. PER MIN / LONG / SHORT
AS4777 / 131757 / 91.4979166667 / 33 / 0
AS7018 / 335544 / 233.016666667 / 9 / 0
AS1836 / 303876 / 211.025 / 12 / 0
AS4608 / 109385 / 75.9618055556 / 62 / 0
AS29608 / 131703 / 91.4604166667 / 34 / 0
AS57381 / 112345 / 78.0173611111 / 36 / 0
AS3257 / 201835 / 140.163194444 / 21 / 0
AS57821 / 117906 / 81.8791666667 / 32 / 0
AS37989 / 30104 / 20.9055555556 / 96 / 0
AS49065 / 10 / 0.00694444444444 / 16037 / 0
AS22652 / 119728 / 83.1444444444 / 30 / 0
AS8758 / 204965 / 142.336805556 / 17 / 0
AS50300 / 150357 / 104.414583333 / 30 / 0
AS50304 / 189272 / 131.438888889 / 35 / 0
AS3549 / 337585 / 234.434027778 / 34 / 0
Total number of updates: 2476372
